	_id	_score	entrezgene
0	10491	3.5807848	10491
1	10509	3.5807848	10509
2	10516	3.5807848	10516
3	10523	3.5807848	10523
4	10535	3.5807848	10535
5	10561	3.5807848	10561
6	10566	3.5807848	10566
7	10573	3.5807848	10573
8	10578	3.5807848	10578
9	10585	3.5807848	10585
10	10600	3.5807848	10600
11	10648	3.5807848	10648
12	10650	3.5807848	10650
13	10655	3.5807848	10655
14	10686	3.5807848	10686
15	10693	3.5807848	10693
16	10713	3.5807848	10713
17	10725	3.5807848	10725
18	10732	3.5807848	10732
19	10744	3.5807848	10744
20	10763	3.5807848	10763
21	10775	3.5807848	10775
22	10794	3.5807848	10794
23	10799	3.5807848	10799
24	10807	3.5807848	10807
25	10826	3.5807848	10826
26	10838	3.5807848	10838
27	10845	3.5807848	10845
28	10871	3.5807848	10871
29	10876	3.5807848	10876
30	10915	3.5807848	10915
31	10927	3.5807848	10927
32	10941	3.5807848	10941
33	10953	3.5807848	10953
34	11007	3.5807848	11007
35	1101	3.5807848	1101
36	11026	3.5807848	11026
37	11033	3.5807848	11033
38	11040	3.5807848	11040
39	11045	3.5807848	11045
40	11052	3.5807848	11052
41	11057	3.5807848	11057
42	11076	3.5807848	11076
43	11103	3.5807848	11103
44	11122	3.5807848	11122
45	11146	3.5807848	11146
46	11158	3.5807848	11158
47	11165	3.5807848	11165
48	11172	3.5807848	11172
49	1118	3.5807848	1118
50	11211	3.5807848	11211
51	11216	3.5807848	11216
52	11228	3.5807848	11228
53	11247	3.5807848	11247
54	112479	3.5807848	112479
55	112703	3.5807848	112703
56	11273	3.5807848	11273
57	112885	3.5807848	112885
58	112936	3.5807848	112936
59	11317	3.5807848	11317
60	113174	3.5807848	113174
61	113179	3.5807848	113179
62	1132	3.5807848	1132
63	113201	3.5807848	113201
64	113220	3.5807848	113220
65	113251	3.5807848	113251
66	113263	3.5807848	113263
67	11329	3.5807848	11329
68	11331	3.5807848	11331
69	11336	3.5807848	11336
70	113655	3.5807848	113655
71	113763	3.5807848	113763
72	114026	3.5807848	114026
73	114336	3.5807848	114336
74	114571	3.5807848	114571
75	114780	3.5807848	114780
76	114785	3.5807848	114785
77	114800	3.5807848	114800
78	114836	3.5807848	114836
79	114881	3.5807848	114881
80	114898	3.5807848	114898
81	1149	3.5807848	1149
82	114932	3.5807848	114932
83	114987	3.5807848	114987
84	115024	3.5807848	115024
85	115207	3.5807848	115207
86	115290	3.5807848	115290
87	115353	3.5807848	115353
88	115548	3.5807848	115548
89	115752	3.5807848	115752
90	115795	3.5807848	115795
91	115827	3.5807848	115827
92	115992	3.5807848	115992
93	116039	3.5807848	116039
94	116135	3.5807848	116135
95	116159	3.5807848	116159
96	116173	3.5807848	116173
97	116224	3.5807848	116224
